Run,Alias,Assay Type,AvgSpotLen,BioProject,BioSample,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,Description,diss_oxygen,ENA_CHECKLIST,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,env_biome,env_feature,env_package,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,nitrate,Organism,phosphate,Platform,ReleaseDate,salinity,sample_acc,Sample Name,sample_name,silicate,SRA_accession,SRA Study,temp,title,total_depth_water_col,chlorophyll
ERR833315,jcvi_cn_GS038_0.1,WGS,1723,PRJEB8968,SAMEA3313106,J CRAIG VENTER INSTITUTE,2004-03-18T21:34:00+00:00,public,"sra,fastq","ncbi,gs,ena,s3","ncbi.public,ena,gs.US,s3.us-east-1",1.6,"Water sample taken on 2004-03-18T21:34:00+00:00 from site GS038 (lat:-2.597233333\, long:-97.876)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration through 3µm...",8,ERC000011,2015-09-05,2018-11-16,ocean biome,open ocean,water,ERX913405,uncalculated,uncalculated,South Pacific Ocean:South Pacific Ocean:400mi from Galapagos Islands,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:21Z,public,AB 3730xL Genetic Analyzer,2.597233333 S 97.876 W,GS038_0.1_sanger_1.5KB,PAIRED,RANDOM,GENOMIC,125,81,3.8,marine metagenome,0.17,CAPILLARY,2015-09-06T00:00:00Z,34.2,ERS689168,SAMEA3313106,ERS689168,1.7,ERS689168,ERP010013,28.4,GS038 0.1µm,2000,0.23
ERR833317,jcvi_cn_GS040_0.1,WGS,1773,PRJEB8968,SAMEA3313108,J CRAIG VENTER INSTITUTE,2004-03-20T22:17:00+00:00,public,"fastq,sra","ena,s3,gs,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",2,"Water sample taken on 2004-03-20T22:17:00+00:00 from site GS040 (lat:-4.5142\, long:-105.0730667)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration through 3µm...",6.1,ERC000011,2015-09-05,2018-11-16,ocean biome,open ocean,water,ERX913407,uncalculated,uncalculated,South Pacific Ocean:South Pacific Ocean:800mi from Galapagos Islands,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:21Z,public,AB 3730xL Genetic Analyzer,4.5142 S 105.0730667 W,GS040_0.1_sanger_2.0KB,PAIRED,RANDOM,GENOMIC,80,52,2.2,marine metagenome,0.049,CAPILLARY,2015-09-06T00:00:00Z,31.8,ERS689170,SAMEA3313108,ERS689170,1.1,ERS689170,ERP010013,27.8,GS040 0.1µm,3200,0.19
ERR833319,jcvi_cn_GS042_0.1,WGS,1790,PRJEB8968,SAMEA3313110,J CRAIG VENTER INSTITUTE,2004-03-23T21:41:00+00:00,public,"fastq,sra","ena,s3,gs,ncbi","ena,ncbi.public,gs.US,s3.us-east-1",1.6,"Water sample taken on 2004-03-23T21:41:00+00:00 from site GS042 (lat:-7.114966667\, long:-116.1214333)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration throug...",5.5,ERC000011,2015-09-05,2018-11-16,ocean biome,open ocean,water,ERX913409,uncalculated,uncalculated,South Pacific Ocean:South Pacific Ocean:1600mi from Galapagos Islands,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:21Z,public,AB 3730xL Genetic Analyzer,7.114966667 S 116.1214333 W,GS042_0.1_sanger_2.0KB,PAIRED,RANDOM,GENOMIC,81,52,3.2,marine metagenome,0.0085,CAPILLARY,2015-09-06T00:00:00Z,38.1,ERS689172,SAMEA3313110,ERS689172,0.7,ERS689172,ERP010013,27.6,GS042 0.1µm,3800,0.14
ERR833325,jcvi_cn_GS047_0.1,WGS,1733,PRJEB8968,SAMEA3313116,J CRAIG VENTER INSTITUTE,2004-03-29T00:25:00+00:00,public,"fastq,sra","s3,gs,ncbi,ena","gs.US,ncbi.public,ena,s3.us-east-1",27,"Water sample taken on 2004-03-29T00:25:00+00:00 from site GS047 (lat:-10.14626667\, long:-135.4654667)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration throug...",5.6,ERC000011,2015-09-05,2018-11-16,ocean biome,open ocean,water,ERX913415,uncalculated,uncalculated,South Pacific Ocean:South Pacific Ocean:200mi from French Polynesia,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:22Z,public,AB 3730xL Genetic Analyzer,10.14626667 S 135.4654667 W,GS047_0.1_sanger_2.0KB,PAIRED,RANDOM,GENOMIC,138,91,1.7,marine metagenome,0,CAPILLARY,2015-09-06T00:00:00Z,37.3,ERS689178,SAMEA3313116,ERS689178,0.64,ERS689178,ERP010013,28.6,GS047 0.1µm,2400,0.12
ERR833327,jcvi_cn_GS048_0.8,WGS,1643,PRJEB8968,SAMEA3313118,J CRAIG VENTER INSTITUTE,2004-05-17T23:41:00+00:00,public,"sra,fastq","gs,ncbi,ena,s3","ena,ncbi.public,gs.US,s3.us-east-1",1.3,"Water sample taken on 2004-05-17T23:41:00+00:00 from site GS048 (lat:-17.48503333\, long:-149.8244333)\, 0.8µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration throug...",5.7,ERC000011,2015-09-05,2018-11-16,ocean biome,reef,water,ERX913417,uncalculated,uncalculated,"South Pacific Ocean:Tuamotus Marine Ecoregion:inside Cook's Bay\, Moorea\, French Polynesia",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:22Z,public,AB 3730xL Genetic Analyzer,17.48503333 S 149.8244333 W,GS048_0.8_sanger_10.0KB,PAIRED,RANDOM,GENOMIC,38,25,0.015,marine metagenome,0.21,CAPILLARY,2015-09-06T00:00:00Z,35.1,ERS689180,SAMEA3313118,ERS689180,1.2,ERS689180,ERP010013,28.9,GS048 0.8µm,2.1,0.1
ERR833329,jcvi_cn_GS049_0.1,WGS,1620,PRJEB8968,SAMEA3313120,J CRAIG VENTER INSTITUTE,2004-05-18T02:49:00+00:00,public,"fastq,sra","ena,gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US,ena",1.2,"Water sample taken on 2004-05-18T02:49:00+00:00 from site GS049 (lat:-17.45606667\, long:-149.8146333)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration throug...",4.5,ERC000011,2015-09-05,2018-11-16,ocean biome,coastal ocean,water,ERX913419,uncalculated,uncalculated,"South Pacific Ocean:Tuamotus Marine Ecoregion:outside Cook's Bay\, Moorea\, French Polynesia",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:20Z,2018-03-09T13:29:43Z,public,AB 3730xL Genetic Analyzer,17.45606667 S 149.8146333 W,GS049_0.1_sanger_2.0KB,PAIRED,RANDOM,GENOMIC,72,50,0.015,marine metagenome,0.076,CAPILLARY,2015-09-06T00:00:00Z,32.6,ERS689182,SAMEA3313120,ERS689182,2.6,ERS689182,ERP010013,28.8,GS049 0.1µm,1000,0.1
ERR833331,jcvi_cn_GS051_0.1,WGS,1641,PRJEB8968,SAMEA3313122,J CRAIG VENTER INSTITUTE,2004-05-22T17:04:00+00:00,public,"sra,fastq","s3,gs,ncbi,ena","ena,gs.US,s3.us-east-1,ncbi.public",1.3,"Water sample taken on 2004-05-22T17:04:00+00:00 from site GS051 (lat:-15.15366667\, long:-147.4366667)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration throug...",4.8,ERC000011,2015-09-05,2018-11-16,ocean biome,reef,water,ERX913421,uncalculated,uncalculated,"South Pacific Ocean:Tuamotus Marine Ecoregion:Rangiroa Lagoon\, French Polynesia",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:23Z,public,AB 3730xL Genetic Analyzer,15.15366667 S 147.4366667 W,GS051_0.1_sanger_2.0KB,PAIRED,RANDOM,GENOMIC,169,115,0.62,marine metagenome,0,CAPILLARY,2015-09-06T00:00:00Z,34.2,ERS689184,SAMEA3313122,ERS689184,0.84,ERS689184,ERP010013,27.3,GS051 0.1µm,10,0.17
ERR833333,jcvi_cn_GS053_0.1,WGS,1575,PRJEB8968,SAMEA3313124,J CRAIG VENTER INSTITUTE,2004-06-18T02:48:00+00:00,public,"sra,fastq","ncbi,s3,ena,gs","gs.US,s3.us-east-1,ena,ncbi.public",1.6,"Water sample taken on 2004-06-18T02:48:00+00:00 from site GS053 (lat:-21.19966667\, long:-159.814)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration through 3µ...",2.9,ERC000011,2015-09-05,2018-11-16,ocean biome,open ocean,water,ERX913423,uncalculated,uncalculated,"South Pacific Ocean:Southern Cook Islands Marine Ecoregion:5mi from Rarotonga\, Cook Islands",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:23Z,public,AB 3730xL Genetic Analyzer,21.19966667 S 159.814 W,GS053_0.1_sanger_4.0KB,PAIRED,RANDOM,GENOMIC,7,5,0.43,marine metagenome,0,CAPILLARY,2015-09-06T00:00:00Z,35.5,ERS689186,SAMEA3313124,ERS689186,0.78,ERS689186,ERP010013,26.6,GS053 0.1µm,650,0.05
ERR833335,jcvi_cn_GS055_0.1,WGS,1653,PRJEB8968,SAMEA3313126,J CRAIG VENTER INSTITUTE,2004-06-23T22:29:00+00:00,public,"fastq,sra","ena,s3,gs,ncbi","gs.US,s3.us-east-1,ena,ncbi.public",2,"Water sample taken on 2004-06-23T22:29:00+00:00 from site GS055 (lat:-18.48333333\, long:-173.9913333)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration throug...",2.4,ERC000011,2015-09-05,2018-11-16,ocean biome,open ocean,water,ERX913425,uncalculated,uncalculated,"South Pacific Ocean:Samoa Islands Marine Ecoregion:10mi from VaVa'u\, Kingdom of Tonga",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:23Z,public,AB 3730xL Genetic Analyzer,18.48333333 S 173.9913333 W,GS055_0.1_sanger_6.0KB,PAIRED,RANDOM,GENOMIC,46,30,0.47,marine metagenome,0,CAPILLARY,2015-09-06T00:00:00Z,35.3,ERS689188,SAMEA3313126,ERS689188,0.65,ERS689188,ERP010013,26.8,GS055 0.1µm,2000,0.08
ERR833337,jcvi_cn_GS058_0.1,WGS,1610,PRJEB8968,SAMEA3313128,J CRAIG VENTER INSTITUTE,2004-07-15T22:00:00+00:00,public,"fastq,sra","s3,gs,ncbi,ena","gs.US,s3.us-east-1,ena,ncbi.public",1.6,"Water sample taken on 2004-07-15T22:00:00+00:00 from site GS058 (lat:-16.92493333\, long:179.7728)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration through 3µ...",6.8,ERC000011,2015-09-05,2018-11-16,ocean biome,open ocean,water,ERX913427,uncalculated,uncalculated,"South Pacific Ocean:Fiji Islands Marine Ecoregion:5mi from Taveuni\, Fiji",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:23Z,public,AB 3730xL Genetic Analyzer,16.92493333 S 179.7728 E,GS058_0.1_sanger_10.0KB,PAIRED,RANDOM,GENOMIC,126,85,0.54,marine metagenome,0,CAPILLARY,2015-09-06T00:00:00Z,35,ERS689190,SAMEA3313128,ERS689190,0.76,ERS689190,ERP010013,26.2,GS058 0.1µm,760,0.12
ERR833339,jcvi_cn_GS058_0.1,WGS,1543,PRJEB8968,SAMEA3313128,J CRAIG VENTER INSTITUTE,2004-07-15T22:00:00+00:00,public,"fastq,sra","ena,ncbi,gs,s3","ncbi.public,ena,gs.US,s3.us-east-1",1.6,"Water sample taken on 2004-07-15T22:00:00+00:00 from site GS058 (lat:-16.92493333\, long:179.7728)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration through 3µ...",6.8,ERC000011,2015-09-05,2018-11-16,ocean biome,open ocean,water,ERX913429,uncalculated,uncalculated,"South Pacific Ocean:Fiji Islands Marine Ecoregion:5mi from Taveuni\, Fiji",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:23Z,public,AB 3730xL Genetic Analyzer,16.92493333 S 179.7728 E,GS058_0.1_sanger_40.0KB,PAIRED,RANDOM,GENOMIC,0,0,0.54,marine metagenome,0,CAPILLARY,2015-09-06T00:00:00Z,35,ERS689190,SAMEA3313128,ERS689190,0.76,ERS689190,ERP010013,26.2,GS058 0.1µm,760,0.12
ERR833343,jcvi_cn_GS061_0.1,WGS,1627,PRJEB8968,SAMEA3313131,J CRAIG VENTER INSTITUTE,2004-08-03T02:40:00+00:00,public,"fastq,sra","ena,s3,gs,ncbi","ena,ncbi.public,gs.US,s3.us-east-1",1.3,"Water sample taken on 2004-08-03T02:40:00+00:00 from site GS061 (lat:-17.85666667\, long:173.35)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration through 3µm\,...",5.3,ERC000011,2015-09-05,2018-11-16,ocean biome,open ocean,water,ERX913433,uncalculated,uncalculated,"South Pacific Ocean:Vanuatu Marine Ecoregion:137mi from Port Villa\, Vanuatu",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:25Z,public,AB 3730xL Genetic Analyzer,17.85666667 S 173.35 E,GS061_0.1_sanger_8.0KB,PAIRED,RANDOM,GENOMIC,7,5,0.48,marine metagenome,0,CAPILLARY,2015-09-06T00:00:00Z,35,ERS689193,SAMEA3313131,ERS689193,1.3,ERS689193,ERP010013,26.1,GS061 0.1µm,2200,0.07
